,Province/State,Date,Hospitalised
2528,Channel Islands,2020-01-22,0.0
2529,Channel Islands,2020-01-23,0.0
2530,Channel Islands,2020-01-24,0.0
2531,Channel Islands,2020-01-25,0.0
2532,Channel Islands,2020-01-26,0.0
2533,Channel Islands,2020-01-27,0.0
2534,Channel Islands,2020-01-28,0.0
2535,Channel Islands,2020-01-29,0.0
2536,Channel Islands,2020-01-30,0.0
2537,Channel Islands,2020-01-31,0.0
2538,Channel Islands,2020-02-01,0.0
2539,Channel Islands,2020-02-02,0.0
2540,Channel Islands,2020-02-03,0.0
2541,Channel Islands,2020-02-04,0.0
2542,Channel Islands,2020-02-05,0.0
2543,Channel Islands,2020-02-06,0.0
2544,Channel Islands,2020-02-07,0.0
2545,Channel Islands,2020-02-08,0.0
2546,Channel Islands,2020-02-09,0.0
2547,Channel Islands,2020-02-10,0.0
2548,Channel Islands,2020-02-11,0.0
2549,Channel Islands,2020-02-12,0.0
2550,Channel Islands,2020-02-13,0.0
2551,Channel Islands,2020-02-14,0.0
2552,Channel Islands,2020-02-15,0.0
2553,Channel Islands,2020-02-16,0.0
2554,Channel Islands,2020-02-17,0.0
2555,Channel Islands,2020-02-18,0.0
2556,Channel Islands,2020-02-19,0.0
2557,Channel Islands,2020-02-20,0.0
2558,Channel Islands,2020-02-21,0.0
2559,Channel Islands,2020-02-22,0.0
2560,Channel Islands,2020-02-23,0.0
2561,Channel Islands,2020-02-24,0.0
2562,Channel Islands,2020-02-25,0.0
2563,Channel Islands,2020-02-26,0.0
2564,Channel Islands,2020-02-27,0.0
2565,Channel Islands,2020-02-28,0.0
2566,Channel Islands,2020-02-29,0.0
2567,Channel Islands,2020-03-01,0.0
2568,Channel Islands,2020-03-02,0.0
2569,Channel Islands,2020-03-03,0.0
2570,Channel Islands,2020-03-04,0.0
2571,Channel Islands,2020-03-05,0.0
2572,Channel Islands,2020-03-06,0.0
2573,Channel Islands,2020-03-07,0.0
2574,Channel Islands,2020-03-08,0.0
2575,Channel Islands,2020-03-09,0.0
2576,Channel Islands,2020-03-10,0.0
2577,Channel Islands,2020-03-11,0.0
2578,Channel Islands,2020-03-12,0.0
2579,Channel Islands,2020-03-13,0.0
2580,Channel Islands,2020-03-14,0.0
2581,Channel Islands,2020-03-15,0.0
2582,Channel Islands,2020-03-16,0.0
2583,Channel Islands,2020-03-17,0.0
2584,Channel Islands,2020-03-18,0.0
2585,Channel Islands,2020-03-19,0.0
2586,Channel Islands,2020-03-20,0.0
2587,Channel Islands,2020-03-21,0.0
2588,Channel Islands,2020-03-22,0.0
2589,Channel Islands,2020-03-23,0.0
2590,Channel Islands,2020-03-24,0.0
2591,Channel Islands,2020-03-25,0.0
